Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2106;0;0;16;281;158;122;122;3173;1828;5541;577;10664;10664;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2107;0;0;25;281;155;143;191;3173;1793;6494;604;11651;11651;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2108;0;0;33;289;162;142;252;3264;1874;6449;626;11839;11839;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2109;0;0;28;305;178;116;214;3444;2059;5268;627;10985;10985;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2110;0;0;32;268;184;119;245;3027;2128;5404;603;10804;10804;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2111;0;0;25;280;148;142;191;3162;1712;6449;595;11514;11514;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2112;0;0;22;307;176;141;168;3467;2036;6403;646;12074;12074;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2113;0;0;19;265;181;131;145;2993;2094;5949;596;11181;11181;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2114;0;0;27;258;171;137;206;2914;1978;6222;593;11320;11320;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2115;0;0;28;293;156;127;214;3309;1805;5768;604;11096;11096;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2116;0;0;24;282;159;140;184;3185;1839;6358;605;11566;11566;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2117;0;0;23;259;155;150;176;2925;1793;6812;587;11706;11706;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2118;0;0;24;268;172;131;184;3027;1990;5949;595;11150;11150;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2119;0;0;26;270;155;114;199;3049;1793;5177;565;10218;10218;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2120;0;0;29;254;166;148;222;2868;1920;6721;597;11731;11731;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2121;0;0;27;269;160;126;206;3038;1851;5722;582;10817;10817;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2122;0;0;31;241;167;136;237;2722;1932;6176;575;11067;11067;0.0;0.0;0.0;0.0;0.0;0.0;0.0
